"Quarter","Beer","Tobacco","Bricks","Cement","Electricity","Gas"
8217,420,6416,446,1539,42246,175
8309,532,5825,420,1568,38498,129
8401,433,5724,394,1450,39460,116
8491,421,6036,462,1668,41356,149
8582,410,6570,475,1648,42949,163
8674,512,5675,443,1863,40974,138
8766,449,5311,421,1468,40162,127
8856,381,5717,475,1755,41199,159
8947,423,7000,497,1962,44095,184
9039,531,6085,476,1833,41745,147
9131,426,4714,430,1626,41768,131
9221,408,3939,457,1703,43686,167
9312,416,6137,417,1733,46022,181
9404,520,4739,370,1545,42800,145
9496,409,4275,310,1526,43661,133
9587,398,5239,358,1593,44707,162
9678,398,6293,379,1706,46326,184
9770,507,5575,369,1699,43346,146
9862,432,4802,330,1511,43938,135
9952,398,5523,390,1785,45828,171
10043,406,5708,416,1826,48448,183
10135,526,4821,383,1830,46096,151
10227,428,4919,339,1719,46198,141
10317,397,5809,394,1861,47237,174
10408,403,5904,412,1956,49041,191
10500,517,4555,420,2067,46192,157
10592,435,5198,376,1737,48089,145
10682,383,5388,401,1944,48227,182
10773,424,5142,430,2005,49784,198
10865,521,5517,417,2027,47588,165
10957,421,5169,416,1835,49320,164
11048,402,4860,447,2070,50670,199
11139,414,5185,421,1898,52623,213
11231,500,4763,379,1652,49350,173
11323,451,4217,304,1554,51658,177
11413,380,4959,337,1717,51103,205
11504,416,5196,385,1679,52226,218
11596,492,4522,381,1836,50778,185
11688,428,3843,345,1729,50639,166
11778,408,4806,405,1992,51486,204
11869,406,5280,417,2030,53299,228
11961,506,4709,420,1978,51646,186
12053,435,4362,387,1831,51415,172
12143,380,5210,415,1892,51379,204
12234,421,5258,440,2227,54808,232
12326,490,4526,413,2090,52453,188
12418,435,3974,409,1963,54561,173
12509,390,5027,423,2180,54644,215
12600,412,NA,428,2307,55915,227
12692,454,NA,397,2157,52850,190
12784,416,NA,355,1980,55035,170
12874,403,NA,435,2481,55117,206
12965,408,NA,NA,2340,56043,221
13057,482,NA,NA,2265,54992,180
13149,438,NA,NA,2027,57112,171
13239,386,NA,NA,2278,57157,224
13330,405,NA,NA,2427,58400,233
13422,491,NA,NA,2451,56249,192
13514,427,NA,NA,2140,56244,187
13604,383,NA,NA,2362,55036,234
13695,394,NA,NA,2536,59806,245
13787,473,NA,NA,2562,56411,205
13879,420,NA,NA,2183,59118,194
13970,390,NA,NA,2558,56660,229
14061,410,NA,NA,2612,64067,249
14153,488,NA,NA,2373,59045,203
14245,415,NA,NA,1963,58368,196
14335,398,NA,NA,2160,57471,238
14426,419,NA,NA,2325,58394,252
14518,488,NA,NA,2273,57336,210
14610,414,NA,NA,1904,58309,205
14700,374,NA,NA,2401,58041,236
