"Month","Volume"
8004,13.8099
8035,13.2705
8066,12.7163
8095,13.1994
8126,12.7235
8156,12.5501
8187,11.5166
8217,12.1364
8248,12.6521
8279,12.3929
8309,13.382
8340,14.0785
8370,14.7586
8401,14.3785
8432,13.3347
8460,14.7308
8491,14.2616
8521,13.2363
8552,13.0995
8582,14.0387
8613,13.9153
8644,13.4265
8674,14.4461
8705,14.5121
8735,15.2108
8766,15.8034
8797,14.1257
8825,15.3173
8856,14.7663
8886,14.7614
8917,14.3623
8947,14.8726
8978,15.1548
9009,14.3091
9039,15.4411
9070,15.7134
9100,16.4601
9131,16.7395
9162,14.7929
9190,16.5547
9221,15.922
9251,15.6568
9282,15.0057
9312,15.3499
9343,15.5324
9374,15.0938
9404,16.2678
9435,16.1945
9465,16.9076
9496,17.1467
9527,15.6931
9556,16.7081
9587,16.0887
9617,16.4114
9648,15.367
9678,16.1433
9709,16.0633
9740,15.519
9770,16.2804
9801,16.2668
9831,17.2538
9862,17.2706
9893,15.227
9921,16.6409
9952,16.6364
9982,16.5376
10013,15.5824
10043,16.3594
10074,16.352
10105,16.3419
10135,16.78
10166,16.3885
10196,17.3255
10227,17.9166
10258,15.8428
10286,17.4344
10317,16.7057
10347,16.7056
10378,15.7834
10408,16.7918
10439,16.7767
10470,16.3921
10500,17.1515
10531,17.0122
10561,17.8951
10592,18.4914
10623,16.2204
10651,17.7152
10682,17.2472
10712,17.6876
10743,16.241
10773,17.5451
10804,17.2933
10835,16.7712
10865,17.5667
10896,17.3221
10926,18.2621
10957,18.5308
10988,17.3892
11017,18.0225
11048,17.2604
11078,17.8613
11109,17.0309
11139,17.6762
11170,17.9805
11201,17.2073
11231,18.2651
11262,18.3323
11292,19.436
11323,19.2651
11354,17.479
11382,18.6182
11413,17.8869
11443,18.5423
11474,17.7207
11504,18.5664
11535,18.4185
11566,17.4745
11596,18.622
11627,18.1237
11657,18.7519
11688,19.3208
11719,17.2603
11747,19.2879
11778,18.2366
11808,18.2397
11839,17.5083
11869,18.096
11900,17.793
11931,17.166
11961,18.1118
11992,18.1348
12022,19.1301
12053,19.235
12084,17.2456
12112,18.4135
12143,17.4468
12173,17.5597
12204,16.8482
12234,17.3844
12265,17.5883
12296,16.9053
12326,17.792
12357,17.72
12387,19.144
12418,19.2439
12449,17.7823
12478,18.3332
12509,17.8475
12539,18.0935
12570,17.1657
12600,17.8783
12631,17.6412
12662,16.9067
12692,17.8268
12723,17.8322
12753,19.4526
12784,19.5284
12815,16.9441
