"Quarter","Region","State","Purpose","Trips"
15887,"Adelaide","South Australia","Business",179.8741671
15979,"Adelaide","South Australia","Business",142.8077977
16071,"Adelaide","South Australia","Business",138.8302798
16161,"Adelaide","South Australia","Business",154.5054125
16252,"Adelaide","South Australia","Business",185.6021634
16344,"Adelaide","South Australia","Business",168.3471197
16436,"Adelaide","South Australia","Business",142.7914525
16526,"Adelaide","South Australia","Business",167.9152552
16617,"Adelaide","South Australia","Business",176.4594617
16709,"Adelaide","South Australia","Business",186.7256903
16801,"Adelaide","South Australia","Business",182.0982561
16892,"Adelaide","South Australia","Business",187.8089202
16983,"Adelaide","South Australia","Business",195.9832501
17075,"Adelaide","South Australia","Business",152.4288872
17167,"Adelaide","South Australia","Business",129.0288286
17257,"Adelaide","South Australia","Business",173.7363936
17348,"Adelaide","South Australia","Business",185.3025775
17440,"Adelaide","South Australia","Business",197.2800029
10227,"Adelaide","South Australia","Holiday",223.5574059
10317,"Adelaide","South Australia","Holiday",130.287369
10408,"Adelaide","South Australia","Holiday",156.089398
10500,"Adelaide","South Australia","Holiday",182.3289795
10592,"Adelaide","South Australia","Holiday",185.33188
10682,"Adelaide","South Australia","Holiday",134.6696903
10773,"Adelaide","South Australia","Holiday",136.0347311
10865,"Adelaide","South Australia","Holiday",168.6863799
10957,"Adelaide","South Australia","Holiday",184.1202637
11048,"Adelaide","South Australia","Holiday",134.3627013
11139,"Adelaide","South Australia","Holiday",145.3610392
11231,"Adelaide","South Australia","Holiday",150.513124
11323,"Adelaide","South Australia","Holiday",160.2282407
11413,"Adelaide","South Australia","Holiday",133.1343279
11504,"Adelaide","South Australia","Holiday",153.773094
11596,"Adelaide","South Australia","Holiday",181.4068405
11688,"Adelaide","South Australia","Holiday",169.0469312
11778,"Adelaide","South Australia","Holiday",114.2086238
11869,"Adelaide","South Australia","Holiday",130.3304208
11961,"Adelaide","South Australia","Holiday",130.4795052
12053,"Adelaide","South Australia","Holiday",146.7703147
12143,"Adelaide","South Australia","Holiday",126.7641332
12234,"Adelaide","South Australia","Holiday",149.4360349
12326,"Adelaide","South Australia","Holiday",111.0500583
12418,"Adelaide","South Australia","Holiday",186.7720696
12509,"Adelaide","South Australia","Holiday",135.9060186
12600,"Adelaide","South Australia","Holiday",112.9890536
12692,"Adelaide","South Australia","Holiday",158.0570262
12784,"Adelaide","South Australia","Holiday",141.6333769
12874,"Adelaide","South Australia","Holiday",120.1251157
12965,"Adelaide","South Australia","Holiday",160.774783
13057,"Adelaide","South Australia","Holiday",149.0777328
13149,"Adelaide","South Australia","Holiday",191.525738
13239,"Adelaide","South Australia","Holiday",163.649515
13330,"Adelaide","South Australia","Holiday",138.133273
13422,"Adelaide","South Australia","Holiday",164.849392
13514,"Adelaide","South Australia","Holiday",185.5543828
13604,"Adelaide","South Australia","Holiday",180.6817518
13695,"Adelaide","South Australia","Holiday",134.4982174
13787,"Adelaide","South Australia","Holiday",155.604757
13879,"Adelaide","South Australia","Holiday",181.779807
13970,"Adelaide","South Australia","Holiday",147.5425818
14061,"Adelaide","South Australia","Holiday",129.5127253
14153,"Adelaide","South Australia","Holiday",152.0620509
14245,"Adelaide","South Australia","Holiday",147.951753
14335,"Adelaide","South Australia","Holiday",150.9474509
14426,"Adelaide","South Australia","Holiday",157.6999575
14518,"Adelaide","South Australia","Holiday",167.0237365
14610,"Adelaide","South Australia","Holiday",190.0186267
14700,"Adelaide","South Australia","Holiday",134.4421162
14791,"Adelaide","South Australia","Holiday",108.0330401
14883,"Adelaide","South Australia","Holiday",159.5471503
14975,"Adelaide","South Australia","Holiday",169.8550653
15065,"Adelaide","South Australia","Holiday",174.7726763
15156,"Adelaide","South Australia","Holiday",109.4812806
15248,"Adelaide","South Australia","Holiday",165.597184
15340,"Adelaide","South Australia","Holiday",169.7142825
15431,"Adelaide","South Australia","Holiday",124.6560046
15522,"Adelaide","South Australia","Holiday",148.6707777
15614,"Adelaide","South Australia","Holiday",153.7400777
15706,"Adelaide","South Australia","Holiday",171.0331777
15796,"Adelaide","South Australia","Holiday",127.9855815
15887,"Adelaide","South Australia","Holiday",130.9978837
15979,"Adelaide","South Australia","Holiday",118.0241892
16071,"Adelaide","South Australia","Holiday",206.9500696
16161,"Adelaide","South Australia","Holiday",171.4180099
16252,"Adelaide","South Australia","Holiday",157.9348363
16344,"Adelaide","South Australia","Holiday",142.6895176
16436,"Adelaide","South Australia","Holiday",211.8851375
16526,"Adelaide","South Australia","Holiday",121.5809453
16617,"Adelaide","South Australia","Holiday",140.6013453
16709,"Adelaide","South Australia","Holiday",188.6698396
16801,"Adelaide","South Australia","Holiday",199.0522891
16892,"Adelaide","South Australia","Holiday",177.1418065
16983,"Adelaide","South Australia","Holiday",154.1169205
17075,"Adelaide","South Australia","Holiday",147.1019643
17167,"Adelaide","South Australia","Holiday",215.9403437
17257,"Adelaide","South Australia","Holiday",201.7341108
17348,"Adelaide","South Australia","Holiday",163.711896
17440,"Adelaide","South Australia","Holiday",214.0530556
10227,"Adelaide","South Australia","Other",58.3626891
10317,"Adelaide","South Australia","Other",39.4687353
10408,"Adelaide","South Australia","Other",38.431629
10500,"Adelaide","South Australia","Other",33.7915233
10592,"Adelaide","South Australia","Other",25.9018459
10682,"Adelaide","South Australia","Other",54.5493233
10773,"Adelaide","South Australia","Other",28.7145367
10865,"Adelaide","South Australia","Other",44.903216
10957,"Adelaide","South Australia","Other",56.4463277
11048,"Adelaide","South Australia","Other",80.9540403
11139,"Adelaide","South Australia","Other",40.340643
11231,"Adelaide","South Australia","Other",47.349627
11323,"Adelaide","South Australia","Other",36.8334712
11413,"Adelaide","South Australia","Other",65.0079823
11504,"Adelaide","South Australia","Other",54.7317678
11596,"Adelaide","South Australia","Other",56.2549271
11688,"Adelaide","South Australia","Other",41.5928159
11778,"Adelaide","South Australia","Other",36.6562369
11869,"Adelaide","South Australia","Other",50.8411344
11961,"Adelaide","South Australia","Other",43.8577248
12053,"Adelaide","South Australia","Other",40.1157815
12143,"Adelaide","South Australia","Other",64.3621483
12234,"Adelaide","South Australia","Other",44.4441751
12326,"Adelaide","South Australia","Other",43.3242303
12418,"Adelaide","South Australia","Other",42.3108254
12509,"Adelaide","South Australia","Other",56.0269055
12600,"Adelaide","South Australia","Other",59.2224325
12692,"Adelaide","South Australia","Other",57.6255736
12784,"Adelaide","South Australia","Other",49.7870409
12874,"Adelaide","South Australia","Other",49.2945724
12965,"Adelaide","South Australia","Other",31.9925869
13057,"Adelaide","South Australia","Other",55.8062237
13149,"Adelaide","South Australia","Other",50.236464
13239,"Adelaide","South Australia","Other",55.449475
13330,"Adelaide","South Australia","Other",54.776388
13422,"Adelaide","South Australia","Other",41.805042
13514,"Adelaide","South Australia","Other",41.2923221
13604,"Adelaide","South Australia","Other",49.9884623
13695,"Adelaide","South Australia","Other",55.0872166
13787,"Adelaide","South Australia","Other",51.7531199
13879,"Adelaide","South Australia","Other",43.8686265
13970,"Adelaide","South Australia","Other",37.5657883
14061,"Adelaide","South Australia","Other",46.4611953
14153,"Adelaide","South Australia","Other",44.106251
14245,"Adelaide","South Australia","Other",52.0594965
14335,"Adelaide","South Australia","Other",52.4399762
14426,"Adelaide","South Australia","Other",56.0704944
14518,"Adelaide","South Australia","Other",41.9836801
14610,"Adelaide","South Australia","Other",43.76536
14700,"Adelaide","South Australia","Other",55.7404317
14791,"Adelaide","South Australia","Other",53.0696029
14883,"Adelaide","South Australia","Other",55.3062409
14975,"Adelaide","South Australia","Other",70.1165861
15065,"Adelaide","South Australia","Other",56.6278031
15156,"Adelaide","South Australia","Other",61.9101303
15248,"Adelaide","South Australia","Other",57.9282548
15340,"Adelaide","South Australia","Other",58.2204869
15431,"Adelaide","South Australia","Other",88.1216209
15522,"Adelaide","South Australia","Other",66.8339913
15614,"Adelaide","South Australia","Other",42.2232428
15706,"Adelaide","South Australia","Other",52.7758394
15796,"Adelaide","South Australia","Other",52.4453248
15887,"Adelaide","South Australia","Other",79.5717441
15979,"Adelaide","South Australia","Other",101.7222527
16071,"Adelaide","South Australia","Other",71.369416
16161,"Adelaide","South Australia","Other",82.6371489
16252,"Adelaide","South Australia","Other",46.0170661
16344,"Adelaide","South Australia","Other",87.1037133
16436,"Adelaide","South Australia","Other",78.0789126
16526,"Adelaide","South Australia","Other",107.4946569
16617,"Adelaide","South Australia","Other",51.7945351
16709,"Adelaide","South Australia","Other",45.150493
16801,"Adelaide","South Australia","Other",61.8101351
16892,"Adelaide","South Australia","Other",80.4886879
16983,"Adelaide","South Australia","Other",81.7148422
17075,"Adelaide","South Australia","Other",83.5487847
17167,"Adelaide","South Australia","Other",93.827099
17257,"Adelaide","South Australia","Other",82.5889838
17348,"Adelaide","South Australia","Other",96.0775649
17440,"Adelaide","South Australia","Other",74.7483317
10227,"Adelaide","South Australia","Visiting",241.5561095
10317,"Adelaide","South Australia","Visiting",170.1105142
10408,"Adelaide","South Australia","Visiting",232.3488833
10500,"Adelaide","South Australia","Visiting",180.9617928
10592,"Adelaide","South Australia","Visiting",199.711846
10682,"Adelaide","South Australia","Visiting",179.5662015
10773,"Adelaide","South Australia","Visiting",203.9482412
10865,"Adelaide","South Australia","Visiting",214.4801446
10957,"Adelaide","South Australia","Visiting",251.7557851
11048,"Adelaide","South Australia","Visiting",178.6629738
11139,"Adelaide","South Australia","Visiting",147.5333628
11231,"Adelaide","South Australia","Visiting",213.1198656
11323,"Adelaide","South Australia","Visiting",239.9944022
11413,"Adelaide","South Australia","Visiting",155.6012016
11504,"Adelaide","South Australia","Visiting",162.7763442
11596,"Adelaide","South Australia","Visiting",256.3846773
11688,"Adelaide","South Australia","Visiting",198.208282
11778,"Adelaide","South Australia","Visiting",250.1651577
11869,"Adelaide","South Australia","Visiting",223.3220049
11961,"Adelaide","South Australia","Visiting",189.6923009
12053,"Adelaide","South Australia","Visiting",230.0463821
12143,"Adelaide","South Australia","Visiting",173.4722393
12234,"Adelaide","South Australia","Visiting",175.135268
12326,"Adelaide","South Australia","Visiting",208.7591977
12418,"Adelaide","South Australia","Visiting",265.7548591
12509,"Adelaide","South Australia","Visiting",213.8409703
12600,"Adelaide","South Australia","Visiting",183.408378
12692,"Adelaide","South Australia","Visiting",231.7860383
12784,"Adelaide","South Australia","Visiting",261.8095196
12874,"Adelaide","South Australia","Visiting",176.1852599
12965,"Adelaide","South Australia","Visiting",165.3942311
13057,"Adelaide","South Australia","Visiting",182.0362393
13149,"Adelaide","South Australia","Visiting",218.827553
13239,"Adelaide","South Australia","Visiting",194.114447
13330,"Adelaide","South Australia","Visiting",163.068442
13422,"Adelaide","South Australia","Visiting",220.230351
13514,"Adelaide","South Australia","Visiting",246.2381097
13604,"Adelaide","South Australia","Visiting",220.738877
13695,"Adelaide","South Australia","Visiting",188.9236406
13787,"Adelaide","South Australia","Visiting",223.1513123
13879,"Adelaide","South Australia","Visiting",243.6220677
13970,"Adelaide","South Australia","Visiting",186.8657264
14061,"Adelaide","South Australia","Visiting",179.00034
14153,"Adelaide","South Australia","Visiting",218.8652874
14245,"Adelaide","South Australia","Visiting",193.9363459
14335,"Adelaide","South Australia","Visiting",166.5628643
14426,"Adelaide","South Australia","Visiting",206.980141
14518,"Adelaide","South Australia","Visiting",199.9165145
14610,"Adelaide","South Australia","Visiting",177.3642501
14700,"Adelaide","South Australia","Visiting",190.3976189
14791,"Adelaide","South Australia","Visiting",136.6111544
14883,"Adelaide","South Australia","Visiting",174.7713795
14975,"Adelaide","South Australia","Visiting",213.8757276
15065,"Adelaide","South Australia","Visiting",185.397534
15156,"Adelaide","South Australia","Visiting",145.3488
15248,"Adelaide","South Australia","Visiting",206.5681484
15340,"Adelaide","South Australia","Visiting",177.4265611
15431,"Adelaide","South Australia","Visiting",165.9582747
15522,"Adelaide","South Australia","Visiting",174.4469643
15614,"Adelaide","South Australia","Visiting",236.4678649
15706,"Adelaide","South Australia","Visiting",177.7299619
15796,"Adelaide","South Australia","Visiting",213.4183644
15887,"Adelaide","South Australia","Visiting",197.1145928
15979,"Adelaide","South Australia","Visiting",180.1940008
16071,"Adelaide","South Australia","Visiting",211.3142782
16161,"Adelaide","South Australia","Visiting",244.4966507
16252,"Adelaide","South Australia","Visiting",140.3922591
16344,"Adelaide","South Australia","Visiting",261.6273403
16436,"Adelaide","South Australia","Visiting",217.4926368
16526,"Adelaide","South Australia","Visiting",204.5953228
16617,"Adelaide","South Australia","Visiting",213.508223
16709,"Adelaide","South Australia","Visiting",259.2994435
16801,"Adelaide","South Australia","Visiting",252.284773
16892,"Adelaide","South Australia","Visiting",219.1658594
16983,"Adelaide","South Australia","Visiting",203.7540928
17075,"Adelaide","South Australia","Visiting",251.2916838
17167,"Adelaide","South Australia","Visiting",269.5356177
17257,"Adelaide","South Australia","Visiting",218.3935756
17348,"Adelaide","South Australia","Visiting",229.0500207
17440,"Adelaide","South Australia","Visiting",237.6296731
10227,"Adelaide Hills","South Australia","Business",0
10317,"Adelaide Hills","South Australia","Business",0
10408,"Adelaide Hills","South Australia","Business",7.4175726
10500,"Adelaide Hills","South Australia","Business",0
10592,"Adelaide Hills","South Australia","Business",0.669801
10682,"Adelaide Hills","South Australia","Business",0.9485634
10773,"Adelaide Hills","South Australia","Business",0
10865,"Adelaide Hills","South Australia","Business",0
10957,"Adelaide Hills","South Australia","Business",0
11048,"Adelaide Hills","South Australia","Business",0.6234467
11139,"Adelaide Hills","South Australia","Business",4.9205512
11231,"Adelaide Hills","South Australia","Business",7.2571081
11323,"Adelaide Hills","South Australia","Business",0
11413,"Adelaide Hills","South Australia","Business",5.4055598
11504,"Adelaide Hills","South Australia","Business",1.8786155
11596,"Adelaide Hills","South Australia","Business",0.9916063
11688,"Adelaide Hills","South Australia","Business",0
11778,"Adelaide Hills","South Australia","Business",2.2811975
11869,"Adelaide Hills","South Australia","Business",0
11961,"Adelaide Hills","South Australia","Business",0
12053,"Adelaide Hills","South Australia","Business",0
12143,"Adelaide Hills","South Australia","Business",2.265113
12234,"Adelaide Hills","South Australia","Business",2.4946163
12326,"Adelaide Hills","South Australia","Business",0
12418,"Adelaide Hills","South Australia","Business",4.1064634
12509,"Adelaide Hills","South Australia","Business",6.1167046
12600,"Adelaide Hills","South Australia","Business",28.6015152
12692,"Adelaide Hills","South Australia","Business",5.1464077
12784,"Adelaide Hills","South Australia","Business",5.9550873
12874,"Adelaide Hills","South Australia","Business",6.9998942
12965,"Adelaide Hills","South Australia","Business",0.7188813
13057,"Adelaide Hills","South Australia","Business",0
13149,"Adelaide Hills","South Australia","Business",1.322368
13239,"Adelaide Hills","South Australia","Business",1.348101
13330,"Adelaide Hills","South Australia","Business",0.788043
13422,"Adelaide Hills","South Australia","Business",2.58543
13514,"Adelaide Hills","South Australia","Business",3.4910835
13604,"Adelaide Hills","South Australia","Business",1.9444892
13695,"Adelaide Hills","South Australia","Business",0.9550753
13787,"Adelaide Hills","South Australia","Business",7.4194128
13879,"Adelaide Hills","South Australia","Business",4.5110447
13970,"Adelaide Hills","South Australia","Business",5.1827222
14061,"Adelaide Hills","South Australia","Business",0.7745446
14153,"Adelaide Hills","South Australia","Business",0
14245,"Adelaide Hills","South Australia","Business",0.4740745
14335,"Adelaide Hills","South Australia","Business",1.7390433
14426,"Adelaide Hills","South Australia","Business",0
14518,"Adelaide Hills","South Australia","Business",7.0883161
14610,"Adelaide Hills","South Australia","Business",1.2614911
14700,"Adelaide Hills","South Australia","Business",1.5545561
14791,"Adelaide Hills","South Australia","Business",4.411182
14883,"Adelaide Hills","South Australia","Business",0.7453911
14975,"Adelaide Hills","South Australia","Business",0.8340089
15065,"Adelaide Hills","South Australia","Business",1.486946
15156,"Adelaide Hills","South Australia","Business",8.9171885
15248,"Adelaide Hills","South Australia","Business",1.3575087
15340,"Adelaide Hills","South Australia","Business",0
15431,"Adelaide Hills","South Australia","Business",3.0112114
15522,"Adelaide Hills","South Australia","Business",0
15614,"Adelaide Hills","South Australia","Business",4.7733067
15706,"Adelaide Hills","South Australia","Business",1.7713181
15796,"Adelaide Hills","South Australia","Business",2.6677437
15887,"Adelaide Hills","South Australia","Business",0
15979,"Adelaide Hills","South Australia","Business",0
16071,"Adelaide Hills","South Australia","Business",0
16161,"Adelaide Hills","South Australia","Business",1.2493762
16252,"Adelaide Hills","South Australia","Business",0
16344,"Adelaide Hills","South Australia","Business",0
16436,"Adelaide Hills","South Australia","Business",0.7101666
16526,"Adelaide Hills","South Australia","Business",1.8114772
16617,"Adelaide Hills","South Australia","Business",16.2733027
16709,"Adelaide Hills","South Australia","Business",0
16801,"Adelaide Hills","South Australia","Business",14.6857262
16892,"Adelaide Hills","South Australia","Business",0
16983,"Adelaide Hills","South Australia","Business",3.8583368
17075,"Adelaide Hills","South Australia","Business",0.1173455
17167,"Adelaide Hills","South Australia","Business",0.9790461
17257,"Adelaide Hills","South Australia","Business",4.303
17348,"Adelaide Hills","South Australia","Business",1.9368033
17440,"Adelaide Hills","South Australia","Business",0
10227,"Adelaide Hills","South Australia","Holiday",6.8104523
10317,"Adelaide Hills","South Australia","Holiday",13.6720871
10408,"Adelaide Hills","South Australia","Holiday",12.9211976
10500,"Adelaide Hills","South Australia","Holiday",18.1373877
10592,"Adelaide Hills","South Australia","Holiday",10.9051648
10682,"Adelaide Hills","South Australia","Holiday",16.7807442
10773,"Adelaide Hills","South Australia","Holiday",6.9177303
10865,"Adelaide Hills","South Australia","Holiday",9.7011935
10957,"Adelaide Hills","South Australia","Holiday",15.0217047
11048,"Adelaide Hills","South Australia","Holiday",15.0266245
11139,"Adelaide Hills","South Australia","Holiday",35.7513371
11231,"Adelaide Hills","South Australia","Holiday",6.9048294
11323,"Adelaide Hills","South Australia","Holiday",0
11413,"Adelaide Hills","South Australia","Holiday",8.5686541
11504,"Adelaide Hills","South Australia","Holiday",6.8432419
11596,"Adelaide Hills","South Australia","Holiday",2.0958331
11688,"Adelaide Hills","South Australia","Holiday",10.0677382
11778,"Adelaide Hills","South Australia","Holiday",13.9655569
11869,"Adelaide Hills","South Australia","Holiday",8.210802
11961,"Adelaide Hills","South Australia","Holiday",11.2447404
12053,"Adelaide Hills","South Australia","Holiday",7.6936875
12143,"Adelaide Hills","South Australia","Holiday",1.2393061
12234,"Adelaide Hills","South Australia","Holiday",8.1428229
12326,"Adelaide Hills","South Australia","Holiday",2.7774158
12418,"Adelaide Hills","South Australia","Holiday",20.6068023
12509,"Adelaide Hills","South Australia","Holiday",4.0609206
12600,"Adelaide Hills","South Australia","Holiday",16.159782
12692,"Adelaide Hills","South Australia","Holiday",8.492838
12784,"Adelaide Hills","South Australia","Holiday",9.0009987
12874,"Adelaide Hills","South Australia","Holiday",7.2371547
12965,"Adelaide Hills","South Australia","Holiday",6.4905447
13057,"Adelaide Hills","South Australia","Holiday",3.5300866
13149,"Adelaide Hills","South Australia","Holiday",9.258452
13239,"Adelaide Hills","South Australia","Holiday",6.678015
13330,"Adelaide Hills","South Australia","Holiday",5.770516
13422,"Adelaide Hills","South Australia","Holiday",5.642634
13514,"Adelaide Hills","South Australia","Holiday",7.783172
13604,"Adelaide Hills","South Australia","Holiday",5.2993434
13695,"Adelaide Hills","South Australia","Holiday",4.8560908
13787,"Adelaide Hills","South Australia","Holiday",12.3934947
13879,"Adelaide Hills","South Australia","Holiday",4.7703495
13970,"Adelaide Hills","South Australia","Holiday",8.3249579
14061,"Adelaide Hills","South Australia","Holiday",8.5390942
14153,"Adelaide Hills","South Australia","Holiday",7.9047397
14245,"Adelaide Hills","South Australia","Holiday",6.7295009
14335,"Adelaide Hills","South Australia","Holiday",3.7608167
14426,"Adelaide Hills","South Australia","Holiday",6.5875964
14518,"Adelaide Hills","South Australia","Holiday",11.9245373
14610,"Adelaide Hills","South Australia","Holiday",2.5127822
14700,"Adelaide Hills","South Australia","Holiday",5.2512939
14791,"Adelaide Hills","South Australia","Holiday",6.7521319
14883,"Adelaide Hills","South Australia","Holiday",13.1153901
14975,"Adelaide Hills","South Australia","Holiday",6.3379975
15065,"Adelaide Hills","South Australia","Holiday",8.0623412
15156,"Adelaide Hills","South Australia","Holiday",5.6189895
15248,"Adelaide Hills","South Australia","Holiday",16.751851
15340,"Adelaide Hills","South Australia","Holiday",4.6416648
15431,"Adelaide Hills","South Australia","Holiday",22.0608883
15522,"Adelaide Hills","South Australia","Holiday",4.7464807
15614,"Adelaide Hills","South Australia","Holiday",4.9041933
15706,"Adelaide Hills","South Australia","Holiday",2.9074736
15796,"Adelaide Hills","South Australia","Holiday",24.2493715
15887,"Adelaide Hills","South Australia","Holiday",13.6249076
15979,"Adelaide Hills","South Australia","Holiday",15.584661
16071,"Adelaide Hills","South Australia","Holiday",13.4973173
16161,"Adelaide Hills","South Australia","Holiday",23.9760708
16252,"Adelaide Hills","South Australia","Holiday",5.7591444
16344,"Adelaide Hills","South Australia","Holiday",4.361428
16436,"Adelaide Hills","South Australia","Holiday",11.3356962
16526,"Adelaide Hills","South Australia","Holiday",20.6098284
16617,"Adelaide Hills","South Australia","Holiday",15.5468821
16709,"Adelaide Hills","South Australia","Holiday",16.0923819
16801,"Adelaide Hills","South Australia","Holiday",23.9436798
16892,"Adelaide Hills","South Australia","Holiday",11.2939838
16983,"Adelaide Hills","South Australia","Holiday",15.490573
17075,"Adelaide Hills","South Australia","Holiday",14.3433173
17167,"Adelaide Hills","South Australia","Holiday",12.918826
17257,"Adelaide Hills","South Australia","Holiday",19.0545985
17348,"Adelaide Hills","South Australia","Holiday",17.7025595
17440,"Adelaide Hills","South Australia","Holiday",13.1306931
10227,"Adelaide Hills","South Australia","Other",0
10317,"Adelaide Hills","South Australia","Other",4.6416225
10408,"Adelaide Hills","South Australia","Other",2.5551154
10500,"Adelaide Hills","South Australia","Other",0.7742269
10592,"Adelaide Hills","South Australia","Other",0
10682,"Adelaide Hills","South Australia","Other",0
10773,"Adelaide Hills","South Australia","Other",0
10865,"Adelaide Hills","South Australia","Other",2.2665789
10957,"Adelaide Hills","South Australia","Other",0
11048,"Adelaide Hills","South Australia","Other",1.7767214
11139,"Adelaide Hills","South Australia","Other",0
11231,"Adelaide Hills","South Australia","Other",0
11323,"Adelaide Hills","South Australia","Other",0.3505485
11413,"Adelaide Hills","South Australia","Other",1.9370989
11504,"Adelaide Hills","South Australia","Other",0
11596,"Adelaide Hills","South Australia","Other",0
11688,"Adelaide Hills","South Australia","Other",0
11778,"Adelaide Hills","South Australia","Other",3.7257407
11869,"Adelaide Hills","South Australia","Other",0
11961,"Adelaide Hills","South Australia","Other",0
12053,"Adelaide Hills","South Australia","Other",0.6332154
12143,"Adelaide Hills","South Australia","Other",3.6678782
12234,"Adelaide Hills","South Australia","Other",3.0060054
12326,"Adelaide Hills","South Australia","Other",0
12418,"Adelaide Hills","South Australia","Other",1.063292
12509,"Adelaide Hills","South Australia","Other",2.0589476
12600,"Adelaide Hills","South Australia","Other",0.8917248
12692,"Adelaide Hills","South Australia","Other",0.6858324
12784,"Adelaide Hills","South Australia","Other",0
12874,"Adelaide Hills","South Australia","Other",1.8917965
12965,"Adelaide Hills","South Australia","Other",0.6089545
13057,"Adelaide Hills","South Australia","Other",0
13149,"Adelaide Hills","South Australia","Other",0.85997
13239,"Adelaide Hills","South Australia","Other",1.25749
13330,"Adelaide Hills","South Australia","Other",2.195824
13422,"Adelaide Hills","South Australia","Other",2.448203
13514,"Adelaide Hills","South Australia","Other",0.8895071
13604,"Adelaide Hills","South Australia","Other",1.1913984
13695,"Adelaide Hills","South Australia","Other",1.1651694
13787,"Adelaide Hills","South Australia","Other",0.6422861
13879,"Adelaide Hills","South Australia","Other",0
13970,"Adelaide Hills","South Australia","Other",0.7693277
14061,"Adelaide Hills","South Australia","Other",1.2218403
14153,"Adelaide Hills","South Australia","Other",2.4349158
14245,"Adelaide Hills","South Australia","Other",1.1392864
14335,"Adelaide Hills","South Australia","Other",0
14426,"Adelaide Hills","South Australia","Other",1.0324881
14518,"Adelaide Hills","South Australia","Other",0
14610,"Adelaide Hills","South Australia","Other",2.6697268
14700,"Adelaide Hills","South Australia","Other",0
14791,"Adelaide Hills","South Australia","Other",0.5132324
14883,"Adelaide Hills","South Australia","Other",0.6433945
14975,"Adelaide Hills","South Australia","Other",0.5816382
15065,"Adelaide Hills","South Australia","Other",0
15156,"Adelaide Hills","South Australia","Other",2.3308912
15248,"Adelaide Hills","South Australia","Other",0.3166023
15340,"Adelaide Hills","South Australia","Other",0.7022849
15431,"Adelaide Hills","South Australia","Other",1.762161
15522,"Adelaide Hills","South Australia","Other",0
15614,"Adelaide Hills","South Australia","Other",1.2862624
15706,"Adelaide Hills","South Australia","Other",2.884592
15796,"Adelaide Hills","South Australia","Other",0.6894667
15887,"Adelaide Hills","South Australia","Other",0.939753
15979,"Adelaide Hills","South Australia","Other",6.6505357
